# Wavelength (um) - Flux (W m-2 um-1)
3.499999999999999778e-01 1.546245458766939901e-07
3.506938601832851887e-01 2.073566858887368963e-07
3.513890959150102189e-01 2.784410663471952576e-07
3.520857099221416653e-01 3.740740998068000538e-07
3.527837049370521894e-01 5.016654929723458310e-07
3.534830836975311752e-01 6.697980061892663310e-07
3.541838489467957207e-01 8.890534293376268378e-07
3.548860034335010738e-01 1.171915272801778600e-06
3.555895499117517344e-01 1.534503854464796929e-06
3.562944911411119464e-01 1.994594816860265053e-06
3.570008298866167440e-01 2.570959781634674734e-06
3.577085689187827211e-01 3.286194003446902983e-06
3.584177110136189670e-01 4.166068590247893935e-06
3.591282589526377245e-01 5.245018833655763372e-06
3.598402155228656585e-01 6.550054227459788389e-06
3.605535835168544589e-01 8.115701172963748670e-06
3.612683657326919984e-01 9.979931863237255635e-06
3.619845649740132121e-01 1.219541066558267332e-05
3.627021840500111449e-01 1.479576136195992612e-05
3.634212257754479425e-01 1.782793104015581337e-05
3.641416929706658978e-01 2.134487097584176338e-05
3.648635884615984981e-01 2.540879263078176428e-05
3.655869150797815270e-01 3.005905198609563596e-05
3.663116756623641668e-01 3.534724259071556058e-05
3.670378730521201560e-01 4.135348721411992814e-05
3.677655100974589475e-01 4.811191488296503446e-05
3.684945896524366438e-01 5.566697068598383411e-05
3.692251145767675991e-01 6.408721191156496755e-05
3.699570877358354104e-01 7.340765844548269119e-05
3.706905120007041310e-01 8.364204660661541399e-05
3.714253902481295389e-01 9.482954890397539644e-05
3.721617253605705167e-01 1.069738166221435307e-04
3.728995202262002651e-01 1.200350202841797841e-04
3.736387777389177378e-01 1.339951820201478491e-04
3.743795007983588552e-01 1.487787256689053819e-04
3.751216923099078837e-01 1.642650343993186531e-04
3.758653551847090379e-01 1.803337856186802137e-04
3.766104923396776938e-01 1.967748520283409575e-04
3.773571066975117683e-01 2.134008989200367786e-04
3.781052011867035434e-01 2.299758483686917504e-04
3.788547787415506574e-01 2.461997394187480782e-04
3.796058423021680395e-01 2.617252305970344472e-04
3.803583948144992344e-01 2.762664786910395531e-04
3.811124392303280040e-01 2.895540464808275143e-04
3.818679785072897626e-01 3.011568033878420526e-04
3.826250156088835119e-01 3.109182839011227512e-04
3.833835535044831655e-01 3.186239049944374914e-04
3.841435951693493167e-01 3.240434088985784497e-04
3.849051435846408409e-01 3.271325648208766451e-04
3.856682017374267191e-01 3.277266554528774386e-04
3.864327726206975844e-01 3.259732021947175842e-04
3.871988592333776014e-01 3.218198607576371940e-04
3.879664645803361789e-01 3.154208084119465008e-04
3.887355916723996274e-01 3.068336057592966812e-04
3.895062435263633160e-01 2.961545684870415369e-04
3.902784231650031077e-01 2.835013569797754603e-04
3.910521336170875162e-01 2.688990936167204022e-04
3.918273779173893079e-01 2.524847985681317910e-04
3.926041591066976033e-01 2.342469988253255561e-04
3.933824802318299230e-01 2.143570373270793151e-04
3.941623443456437892e-01 1.928286093664407206e-04
3.949437545070488831e-01 1.699385170869407416e-04
3.957267137810192015e-01 1.458865702766065555e-04
3.965112252386047698e-01 1.211165236340795075e-04
3.972972919569439099e-01 9.630378265766108162e-05
3.980849170192751751e-01 7.255948063568149029e-05
3.988741035149496739e-01 5.080331482194364864e-05
3.996648545394428376e-01 3.226787740598350174e-05
4.004571731943668000e-01 1.840503971520711325e-05
4.012510625874825543e-01 9.343387964751259086e-06
4.020465258327120539e-01 4.429482728598292966e-06
4.028435660501505367e-01 1.729051590299115748e-06
4.036421863660785703e-01 4.671966283821394949e-07
4.044423899129745981e-01 3.082021673566535651e-08
4.052441798295269848e-01 3.854976136603451662e-07
4.060475592606462847e-01 1.740138529485119460e-06
4.068525313574780644e-01 5.327773275063783047e-06
4.076590992774144495e-01 1.309658837409305130e-05
4.084672661841073360e-01 2.906776533849475620e-05
4.092770352474802142e-01 5.899082547695019807e-05
4.100884096437408810e-01 1.060286309956000176e-04
4.109013925553938740e-01 1.725284554600287946e-04
4.117159871712527952e-01 2.597629602125383578e-04
4.125321966864530787e-01 3.671431134437200803e-04
4.133500243024642584e-01 4.959447680356366154e-04
4.141694732271026802e-01 6.447925161349347479e-04
4.149905466745440474e-01 8.140321409397546738e-04
4.158132478653361330e-01 1.003903114634508483e-03
4.166375800264111584e-01 1.213400615146253275e-03
4.174635463910987276e-01 1.444550351034932633e-03
4.182911501991381509e-01 1.695939693393416076e-03
4.191203946966917671e-01 1.967929521052215035e-03
4.199512831363568788e-01 2.261958335151829144e-03
4.207838187771793526e-01 2.576764144516547651e-03
4.216180048846655537e-01 2.912523338517379254e-03
4.224538447307958910e-01 3.269595441112798338e-03
4.232913415940371404e-01 3.646794863317063748e-03
4.241304987593556564e-01 4.043708073925986017e-03
4.249713195182299730e-01 4.459778938105569100e-03
4.258138071686639048e-01 4.893163678965693417e-03
4.266579650151993697e-01 5.342979636922209723e-03
4.275037963689294895e-01 5.807786330562060041e-03
4.283513045475113579e-01 6.286632633849445484e-03
4.292004928751793069e-01 6.777007873340787532e-03
4.300513646827577863e-01 7.278742289376811947e-03
4.309039233076744635e-01 7.789591291001432376e-03
4.317581720939732692e-01 8.308439415550782081e-03
4.326141143923275534e-01 8.831674104608227757e-03
4.334717535600533522e-01 9.366815203229940379e-03
4.343310929611222670e-01 9.903513248847974418e-03
4.351921359661750643e-01 1.044697179645661354e-02
4.360548859525344434e-01 1.099375362475791228e-02
4.369193463042185255e-01 1.154377457675899443e-02
4.377855204119542321e-01 1.209682925601437108e-02
4.386534116731903299e-01 1.264414404094057684e-02
