0	0.226999283	0.12	14.31
1	1.095999718	0.025	10.12
2	1.712999344	0.035	13.24
3	1.713000298	0.037	13.34
4	0.851999283	0.021	10.11
5	1.710000038	0.06	10.76
6	1.453000069	0.023	11.68
7	0.911000252	0.04	10.54
8	1.103000641	0.04	11.19
9	1.122000694	0.04	11.53
10	0		0
11	0		0
12	1.224999428	0.116	11.89
13	1.027000427	0.017	10.41
14	1.069000244	0.018	10.77
15	1.796999931	0.1	14.15
16	1.883999825	0.109	14.23
17	0		0
18	1.407999992	0.021	12.76
19	-0.138999939	0.03	16.37
20	0.687000275	0.185	15.81
21	1.071000099	0.029	11.93
22	-0.290998459	0.05	18.41
23	2.115000725	0.044	14.85
24	1.187999725	0.031	11.46
25	0.947999954	0.035	9.73
26	0.927999973	0.046	10.11
27	1.473999977	0.022	11.69
28	1.383000374	0.189	14.92
29	1.618000031	0.035	13.84
30	1.557999611	0.037	13.88
31	0.2689991	0.05	14.13
32	0	0.081	0
33	0.164999962	0.168	15.24
34	1.12899971	0.021	11.5
35	0.976999283	0.019	10.29
36	1.092000008	0.028	10.01
37	0.925000191	0.026	10.67
38	1.163000107	0.019	10.91
39	0.809000015	0.046	10.46
40	-0.260000229	0.12	17.59
41	1.688000679	0.024	14.77
42	0.846000671	0.029	11.4
43	1.119999886	0.018	10.95
44	1.645999908	0.045	12.94
45	1.777000427	0.113	14.29
46	0.888999939	0.018	10.25
47	1.177000046	0.023	12.25
48	1.324999809	0.024	11.85
49	1.069999695	0.024	10.47
50	0.265999794	0.201	16.91
51	1.745000839	0.04	14.3
52	1.104999542	0.068	14.77
53	0.930000305	0.023	10.45
54	0.795000076	0.019	10.15
55	1.137999535	0.018	10.72
56	0.538000107	0.065	10.28
57	1.000999451	0.018	10.41
58	2.082000732	0.095	14.7
59	1.164000511	0.239	15.23
60	0.26099968	0.146	13.31
61	0.80700016	0.021	10.41
62	1.505999565	0.024	13.44
63	0	0.11	0
64	0.225000381	0.052	13.73
65	0		0
66	0		0
67	2.039999962	0.08	0
68	1.300000191	0.029	12.48
69	1.658999443	0.09	15
70	1.630000114	0.11	12.66
71	1.576999664	0.025	12.85
72	1.716000557	0.045	14.37
73	1.123000145	0.026	11.89
74	0.845000267	0.018	10.03
75	0.861000061	0.018	10.14
76	1.321000099	0.027	11.66
77	0		18.42
78	0.044000626	0.194	15.86
79	0.863999367	0.021	10.3
80	0	0.024	0
81	0	0.026	0
82	1.032999992	0.019	9.56
83	0	0.036	0
84	0	0.058	0
85	0.034000397	0.078	14.78
86	1.44299984	0.055	13.15
87	0.285999298	0.386	14.64
88	0		0
89	0.092999458	0.043	15.15
90	2.072000504	0.026	14.96
91	0		0
92	0.974999428	0.024	10.43
93	1.768000603	0.038	14.86
94	1.134000778	0.023	10.77
95	0.892999649	0.023	10.56
96	2.032999992	0.021	13.52
97	1.085999489	0.05	14.69
98	1.007000923	0.018	10.32
99	2.020999908	0.069	14.27
100	1.930999756	0.082	15.1
101	1.269999504	0.024	11.56
102	0		0
103	0		0
104	0.998999596	0.021	10.42
105	0		0
106	1.351000786	0.026	12.03
107	1.514000893	0.064	14.64
108	1.414000511	0.065	14.81
109	1.692998886	0.062	13.95
110	1.587000847	0.062	14.18
111	0.571000099	0.196	14.72
112	0.26199913	0.211	14.99
113	-0.619000435	0.13	15.72
114	-0.752000809	0.09	17.34
115	1.101999283	0.037	11.86
116	0		0
117	2.087000847	0.134	13.27
118	1.089999199	0.033	11.22
119	0		0
120	0		0
121	1.555999756	0.024	13.17
122	1.046999931	0.021	10.88
123	0.223000526	0.078	11.16
124	1.194000244	0.027	11.99
125	1.654999733	0.028	12.58
126	0		0
127	1.417000771	0.023	11.95
128	1.531999588	0.173	14.4
129	0.500999451	0.174	14.37
130	1.137000084	0.022	10.78
131	1.293000221	0.039	11.92
132	-0.256999969	0.03	15.7
133	0.931000233	0.033	10.57
134	0.93900013	0.019	10.6
135	1.000999928	0.017	10.2
136	1.623000145	0.029	12.96
137	1.147000313	0.024	9.32
138	0.997000694	0.023	10.74
139	0.409000397	0.05	14.92
140	1.914999962	0.031	13.52
141	1.796999931	0.033	13.76
142	-0.589000702	0.05	17.13
143	0	0.023	0
144	0	0.036	0
145	0		0
146	0		0
147	0		0
148	0.993999481	0.022	10.49
149	1.001000404	0.022	10.49
150	3.069999695	0.11	16.41
151	1.050000191	0.03	9.4
152	1.031999588	0.144	14.46
153	-0.566999435	0.49	15.96
154	0.06099987	0.03	15.65
155	1.218000412	0.025	11.41
156	0.228000641	0.149	14.91
157	0.029001236	0.151	16.29
158	1.517999649	0.031	13.23
159	1.729999542	0.031	13.58
160	0.832999229	0.016	10.19
161	-0.23000145	0.1	15.96
162	0		0
163	0		0
164	1.053999901	0.054	14.54
165	0.566999435	0.037	10.38
166	0		11.33
167	0		0
168	1.577000618	0.024	12.36
169	1.815999985	0.026	13.03
170	0.729999542	0.1	10.8
171	0		0
172	0		0
173	0		0
174	1.116999626	0.029	10.8
175	1.625	0.046	12.8
176	1.895000458	0.067	14.59
177	1.926999092	0.083	13.65
178	0		0
179	0.227999687	0.274	15.17
180	1.737999916	0.096	14.7
181	0.068000793	0.102	14.24
182	-1.270999908	0.17	17.83
183	1.033999443	0.023	13.35
184	1.353000641	0.158	13.65
185	0		0
186	1.518000603	0.095	13.2
187	0.44699955	0.092	10.4
188	0.987999916	0.02	10.6
189	1.245999336	0.024	11.78
190	0.97300005	0.033	9.79
191	1.001999855	0.02	10.87
192	1.162999153	0.175	11.49
193	1.463001251	0.137	12.52
194	0.715000153	0.025	10.46
195	1.213000298	0.022	11.97
196	0		0
197	0		0
198	0		0
