wavelength,flux,flux_error
0.9420141,7.722699e-17,1.583018e-17
0.9444168,9.587241e-17,1.5526162e-17
0.9468269,9.571276e-17,1.4527166e-17
0.9492442,8.733549e-17,1.4276907e-17
0.9516688,1.1035382e-16,1.3521089e-17
0.9541006,7.240027e-17,1.2589694e-17
0.95653963,8.0811694e-17,1.1538984e-17
0.9589857,8.383697e-17,1.0652068e-17
0.96143883,8.752408e-17,9.892507e-18
0.963899,1.01180435e-16,9.92101e-18
0.9663662,9.336225e-17,9.7378365e-18
0.9688402,9.607026e-17,9.635847e-18
0.9713211,1.1070048e-16,9.6436885e-18
0.97380877,1.2175802e-16,1.0137297e-17
0.9763032,1.1501483e-16,9.8560605e-18
0.9788044,1.08324165e-16,9.59808e-18
0.9813122,1.519569e-16,9.73984e-18
0.98382664,1.4300449e-16,1.0401669e-17
0.9863476,1.4584013e-16,1.020168e-17
0.98887503,1.6997913e-16,1.1031118e-17
0.9914089,1.7391462e-16,1.1729194e-17
0.9939492,2.0379381e-16,1.1889108e-17
0.9964957,1.7249287e-16,1.2384699e-17
0.9990486,2.2730476e-16,1.2479677e-17
1.0016077,2.2527733e-16,1.2016852e-17
1.0041728,2.3945804e-16,1.14228986e-17
1.0067441,2.6085626e-16,1.1277118e-17
1.0093216,2.6306776e-16,1.109298e-17
1.0119048,2.9075475e-16,1.150571e-17
1.0144941,2.9969556e-16,1.2220072e-17
1.0170892,3.438401e-16,1.23649076e-17
1.0196902,3.6993018e-16,1.2231791e-17
1.0222968,3.8935024e-16,1.28102384e-17
1.0249091,4.2545647e-16,1.3134104e-17
1.0275272,4.2873192e-16,1.280248e-17
1.0301508,4.6446173e-16,1.25786246e-17
1.0327798,4.897755e-16,1.2886764e-17
1.0354143,4.974146e-16,1.3059737e-17
1.0380543,5.381819e-16,1.2657562e-17
1.0406996,5.575059e-16,1.2819865e-17
1.0433501,5.7211363e-16,1.2588739e-17
1.0460058,6.070658e-16,1.2104361e-17
1.0486667,6.2754294e-16,1.1570527e-17
1.0513327,6.4617777e-16,1.0792859e-17
1.0540037,6.603561e-16,1.0134263e-17
1.0566797,7.057578e-16,9.914471e-18
1.0593605,7.1749615e-16,9.582272e-18
1.0620463,7.3286196e-16,9.64454e-18
1.0647368,7.468273e-16,1.032275e-17
1.067432,7.6502745e-16,1.1276884e-17
1.0701319,7.824206e-16,1.2086556e-17
1.0728364,7.951126e-16,1.2477878e-17
1.0755454,8.223198e-16,1.3449395e-17
1.0782589,8.150304e-16,1.4416215e-17
1.0809768,8.233208e-16,1.4311199e-17
1.0836991,7.6053214e-16,1.3894469e-17
1.0864255,7.352285e-16,1.4311108e-17
1.0891564,6.4505095e-16,1.4664916e-17
1.0918913,5.459996e-16,1.3897736e-17
1.0946304,4.5735417e-16,1.323422e-17
1.0973734,3.6129095e-16,1.3018118e-17
1.1001204,2.772642e-16,1.2412274e-17
1.1028714,2.5230218e-16,1.1978724e-17
1.1056262,2.038271e-16,1.09980975e-17
1.1083848,1.5355491e-16,1.0198332e-17
1.1111472,1.309263e-16,9.617862e-18
1.1139132,1.2023937e-16,9.279558e-18
1.1166828,7.786077e-17,8.821215e-18
1.1194559,9.916181e-17,9.1988754e-18
1.1222326,7.0415636e-17,1.0175589e-17
1.1250125,8.261286e-17,1.24087556e-17
1.1277959,8.477001e-17,1.38576245e-17
1.1305827,9.747089e-17,1.5201207e-17
1.1333725,1.0610034e-16,1.5120618e-17
1.1361656,7.058384e-17,1.5965527e-17
1.1389619,6.83415e-17,1.6412142e-17
1.1417612,8.2651794e-17,1.6030165e-17
1.1445634,5.587938e-17,1.5792562e-17
1.1473686,5.551149e-17,1.6544391e-17
1.1501766,5.4984796e-17,1.6682718e-17
1.1529875,3.1775875e-17,1.5569175e-17
1.155801,3.956576e-17,1.4874382e-17
1.1586173,3.4525986e-17,1.4915519e-17
1.1614362,2.7367641e-17,1.3909922e-17
1.1642576,4.2458056e-17,1.3150016e-17
1.1670816,7.387011e-17,1.1727456e-17
1.169908,6.0112836e-17,1.0868049e-17
1.1727369,4.8944843e-17,9.929487e-18
1.175568,6.6950616e-17,8.9689846e-18
1.1784014,6.733351e-17,8.299891e-18
1.181237,8.6959956e-17,7.810105e-18
1.1840748,1.08989324e-16,7.593989e-18
1.1869146,1.1238356e-16,7.316828e-18
1.1897564,1.3555455e-16,7.930434e-18
1.1926003,1.6215518e-16,9.890072e-18
1.195446,1.8340389e-16,1.1478383e-17
1.1982936,2.0951676e-16,1.2353324e-17
1.201143,2.4679464e-16,1.2785944e-17
1.2039942,2.791455e-16,1.3792186e-17
1.2068471,3.225712e-16,1.4959125e-17
1.2097015,3.6001838e-16,1.4643613e-17
1.2125576,3.9951317e-16,1.4280481e-17
1.2154151,4.2344238e-16,1.5036339e-17
1.2182741,4.7114964e-16,1.558391e-17
1.2211345,5.276746e-16,1.5113764e-17
1.2239963,5.7164274e-16,1.541814e-17
1.2268593,6.692209e-16,1.594826e-17
1.2297236,6.423847e-16,1.559427e-17
1.2325891,7.118361e-16,1.5315143e-17
1.2354556,7.644708e-16,1.473501e-17
1.2383233,8.294849e-16,1.461642e-17
