Nested Sampling Global Log-Evidence           :   -0.503454936345680326E+06  +/-    0.220057302075626154E+00
Nested Importance Sampling Global Log-Evidence:    0.213389671380896576-313  +/-    0.695160422088630707-309

Dim No.       Mean        Sigma
   1    0.460000009891281650E+03    0.000000000000000000E+00
   2    0.433187870818456400E+01    0.000000000000000000E+00
   3    0.289424085064213843E+01    0.000000000000000000E+00
   4    0.616698472114250329E+00    0.000000000000000000E+00
   5    0.760818132482727094E+02    0.000000000000000000E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.460000009891281650E+03
   2    0.433187870818456400E+01
   3    0.289424085064213843E+01
   4    0.616698472114250329E+00
   5    0.760818132482727094E+02

MAP Parameters
Dim No.        Parameter
   1    0.460000009891281650E+03
   2    0.433187870818456400E+01
   3    0.289424085064213843E+01
   4    0.616698472114250329E+00
   5    0.760818132482727094E+02
